40.77.167.50 - - [08/Aug/2020:00:07:49 +0900] "GET /HSPF01/common/login/login.jsp HTTP/1.1" 200 2479
123.142.124.244 - - [08/Aug/2020:01:21:03 +0900] "GET / HTTP/1.0" 200 776
222.122.190.66 - - [08/Aug/2020:01:23:12 +0900] "GET / HTTP/1.1" 200 776
222.122.190.66 - - [08/Aug/2020:01:23:12 +0900] "GET / HTTP/1.1" 200 732
222.122.190.66 - - [08/Aug/2020:01:23:12 +0900] "GET /robots.txt HTTP/1.1" 404 1014
222.122.190.66 - - [08/Aug/2020:01:23:12 +0900] "GET /robots.txt HTTP/1.1" 404 1014
46.174.191.31 - - [08/Aug/2020:01:46:23 +0900] "GET / HTTP/1.0" 200 776
78.108.177.50 - - [08/Aug/2020:02:26:47 +0900] "GET / HTTP/1.0" 200 776
80.82.70.187 - - [08/Aug/2020:04:09:41 +0900] "GET /cache/global/img/gs.gif HTTP/1.1" 404 1040
119.207.72.184 - - [08/Aug/2020:04:14:44 +0900] "GET / HTTP/1.1" 200 776
119.207.72.184 - - [08/Aug/2020:04:14:50 +0900] "GET /HSPF01/common/login/login.jsp HTTP/1.1" 200 2083
119.207.72.184 - - [08/Aug/2020:04:14:58 +0900] "GET /ext6.5/rsa.js HTTP/1.1" 200 2754
119.207.72.184 - - [08/Aug/2020:04:15:02 +0900] "GET /ext6.5/build/ext-all.js HTTP/1.1" 200 2329979
78.108.177.53 - - [08/Aug/2020:04:59:17 +0900] "GET / HTTP/1.0" 200 776
123.142.124.244 - - [08/Aug/2020:05:17:48 +0900] "GET / HTTP/1.0" 200 776
195.54.160.21 - - [08/Aug/2020:05:36:53 +0900] "GET /solr/admin/info/system?wt=json HTTP/1.1" 404 1038
195.54.160.21 - - [08/Aug/2020:05:50:51 +0900] "GET /?XDEBUG_SESSION_START=phpstorm HTTP/1.1" 200 776
195.54.160.21 - - [08/Aug/2020:06:11:12 +0900] "GET null null" 400 -
195.54.160.21 - - [08/Aug/2020:06:17:53 +0900] "GET null null" 400 -
208.80.194.42 - - [08/Aug/2020:06:36:04 +0900] "GET /HSPF01/supp/scm/scm_dlv_hspf/sql/SCM_DLVY_HSPF_D.jsp HTTP/1.0" 200 44
208.80.194.41 - - [08/Aug/2020:06:36:05 +0900] "GET /HSPF01/common/login/login.jsp HTTP/1.0" 200 2479
208.80.194.41 - - [08/Aug/2020:06:36:09 +0900] "GET / HTTP/1.0" 200 776
78.108.177.52 - - [08/Aug/2020:08:34:17 +0900] "GET / HTTP/1.0" 200 776
112.216.70.42 - - [08/Aug/2020:09:08:03 +0900] "GET / HTTP/1.1" 200 776
112.216.70.42 - - [08/Aug/2020:09:08:03 +0900] "GET /HSPF01/common/login/login.jsp HTTP/1.1" 200 2083
112.216.70.42 - - [08/Aug/2020:09:08:03 +0900] "GET /ext6.5/build/ext-all.js HTTP/1.1" 200 2329979
112.216.70.42 - - [08/Aug/2020:09:08:03 +0900] "GET /ext6.5/build/classic/theme-triton/theme-triton.js HTTP/1.1" 200 7239
112.216.70.42 - - [08/Aug/2020:09:08:03 +0900] "GET /ext6.5/build/packages/ux/classic/ux.js HTTP/1.1" 200 158167
112.216.70.42 - - [08/Aug/2020:09:08:03 +0900] "GET /ext6.5/build/classic/theme-triton/resources/theme-triton-all.css HTTP/1.1" 200 68
112.216.70.42 - - [08/Aug/2020:09:08:03 +0900] "GET /ext6.5/build/classic/locale/locale-ko.js HTTP/1.1" 200 7475
112.216.70.42 - - [08/Aug/2020:09:08:03 +0900] "GET /ext6.5/jsbn.js HTTP/1.1" 200 15718
112.216.70.42 - - [08/Aug/2020:09:08:03 +0900] "GET /ext6.5/rsa.js HTTP/1.1" 200 2754
112.216.70.42 - - [08/Aug/2020:09:08:03 +0900] "GET /ext6.5/prng4.js HTTP/1.1" 200 1052
112.216.70.42 - - [08/Aug/2020:09:08:03 +0900] "GET /ext6.5/rng.js HTTP/1.1" 200 1949
112.216.70.42 - - [08/Aug/2020:09:08:03 +0900] "GET /HSPF01/common/login/app.js HTTP/1.1" 200 896
112.216.70.42 - - [08/Aug/2020:09:08:05 +0900] "GET /ext6.5/build/classic/theme-triton/resources/theme-triton-all_1.css HTTP/1.1" 200 322001
112.216.70.42 - - [08/Aug/2020:09:08:05 +0900] "GET /ext6.5/build/classic/theme-triton/resources/theme-triton-all_2.css HTTP/1.1" 200 162600
112.216.70.42 - - [08/Aug/2020:09:08:05 +0900] "GET /HSPF01/common/login/app/model/LoginModel.js?_dc=1596844767628 HTTP/1.1" 200 1103
112.216.70.42 - - [08/Aug/2020:09:08:05 +0900] "GET /HSPF01/common/login/app/controller/LoginCtrl.js?_dc=1596844767629 HTTP/1.1" 200 3575
112.216.70.42 - - [08/Aug/2020:09:08:05 +0900] "GET /HSPF01/common/login/app/store/LoginStore.js?_dc=1596844767628 HTTP/1.1" 200 1212
112.216.70.42 - - [08/Aug/2020:09:08:05 +0900] "GET /HSPF01/common/login/app/view/MyViewport.js?_dc=1596844767628 HTTP/1.1" 200 18506
112.216.70.42 - - [08/Aug/2020:09:08:05 +0900] "GET /HSPF01/common/login/app/view/MyViewportViewModel.js?_dc=1596844767680 HTTP/1.1" 200 671
112.216.70.42 - - [08/Aug/2020:09:08:05 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-Light.ttf HTTP/1.1" 200 222412
112.216.70.42 - - [08/Aug/2020:09:08:05 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/AGOTHIC14.TTF HTTP/1.1" 200 3682296
112.216.70.42 - - [08/Aug/2020:09:08:05 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-LightItalic.ttf HTTP/1.1" 200 213128
112.216.70.42 - - [08/Aug/2020:09:08:05 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-Regular.ttf HTTP/1.1" 200 217360
112.216.70.42 - - [08/Aug/2020:09:08:05 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-Semibold.ttf HTTP/1.1" 200 221328
112.216.70.42 - - [08/Aug/2020:09:08:05 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-Italic.ttf HTTP/1.1" 200 212896
112.216.70.42 - - [08/Aug/2020:09:08:05 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-SemiboldItalic.ttf HTTP/1.1" 200 212820
112.216.70.42 - - [08/Aug/2020:09:08:05 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-Bold.ttf HTTP/1.1" 200 224592
112.216.70.42 - - [08/Aug/2020:09:08:05 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-BoldItalic.ttf HTTP/1.1" 200 213292
112.216.70.42 - - [08/Aug/2020:09:08:05 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-ExtraBold.ttf HTTP/1.1" 200 222584
112.216.70.42 - - [08/Aug/2020:09:08:05 +0900] "GET /ext6.5/build/classic/theme-triton/resources/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
112.216.70.42 - - [08/Aug/2020:09:08:05 +0900] "GET /ext6.5/build/classic/theme-triton/resources/fonts/OpenSans-ExtraBoldItalic.ttf HTTP/1.1" 200 213420
112.216.70.42 - - [08/Aug/2020:09:08:05 +0900] "GET /ext6.5/build/classic/theme-triton/resources/font-ext/fonts/ExtJS.eot? HTTP/1.1" 200 10560
112.216.70.42 - - [08/Aug/2020:09:08:05 +0900] "GET /HSPF01/common/img/nasa.jpg HTTP/1.1" 200 1092783
112.216.70.42 - - [08/Aug/2020:09:08:05 +0900] "GET /HSPF01/common/img/Hwaseung_logo.gif HTTP/1.1" 200 7788
112.216.70.42 - - [08/Aug/2020:09:08:06 +0900] "GET /HSPF01/common/img/hsnetw.ico HTTP/1.1" 200 32768
123.142.124.244 - - [08/Aug/2020:09:14:31 +0900] "GET / HTTP/1.0" 200 776
195.54.160.21 - - [08/Aug/2020:10:22:01 +0900] "POST /api/jsonws/invoke HTTP/1.1" 404 1028
119.207.72.67 - - [08/Aug/2020:11:05:06 +0900] "GET / HTTP/1.1" 200 776
119.207.72.67 - - [08/Aug/2020:11:05:06 +0900] "GET /HSPF01/common/login/login.jsp HTTP/1.1" 200 2479
119.207.72.67 - - [08/Aug/2020:11:05:06 +0900] "GET /ext6.5/build/ext-all.js;jsessionid=C379A8C6724D70C48EBB5E284115E9AE HTTP/1.1" 200 2329979
119.207.72.67 - - [08/Aug/2020:11:05:06 +0900] "GET /ext6.5/build/classic/theme-triton/theme-triton.js;jsessionid=C379A8C6724D70C48EBB5E284115E9AE HTTP/1.1" 200 7239
119.207.72.67 - - [08/Aug/2020:11:05:06 +0900] "GET /ext6.5/build/classic/theme-triton/resources/theme-triton-all.css;jsessionid=C379A8C6724D70C48EBB5E284115E9AE HTTP/1.1" 200 68
119.207.72.67 - - [08/Aug/2020:11:05:06 +0900] "GET /ext6.5/prng4.js;jsessionid=C379A8C6724D70C48EBB5E284115E9AE HTTP/1.1" 200 1052
119.207.72.67 - - [08/Aug/2020:11:05:06 +0900] "GET /ext6.5/jsbn.js;jsessionid=C379A8C6724D70C48EBB5E284115E9AE HTTP/1.1" 200 15718
119.207.72.67 - - [08/Aug/2020:11:05:06 +0900] "GET /HSPF01/common/login/app.js HTTP/1.1" 200 896
119.207.72.67 - - [08/Aug/2020:11:05:06 +0900] "GET /ext6.5/build/packages/ux/classic/ux.js;jsessionid=C379A8C6724D70C48EBB5E284115E9AE HTTP/1.1" 200 158167
119.207.72.67 - - [08/Aug/2020:11:05:06 +0900] "GET /ext6.5/build/classic/locale/locale-ko.js;jsessionid=C379A8C6724D70C48EBB5E284115E9AE HTTP/1.1" 200 7475
119.207.72.67 - - [08/Aug/2020:11:05:06 +0900] "GET /ext6.5/rsa.js;jsessionid=C379A8C6724D70C48EBB5E284115E9AE HTTP/1.1" 200 2754
119.207.72.67 - - [08/Aug/2020:11:05:06 +0900] "GET /ext6.5/rng.js;jsessionid=C379A8C6724D70C48EBB5E284115E9AE HTTP/1.1" 200 1949
119.207.72.67 - - [08/Aug/2020:11:05:07 +0900] "GET /HSPF01/common/login/Ext/Gadget.js?_dc=1596851789089 HTTP/1.1" 404 1060
119.207.72.67 - - [08/Aug/2020:11:05:07 +0900] "GET /HSPF01/common/login/Ext/XTemplate.js?_dc=1596851789105 HTTP/1.1" 404 1066
119.207.72.67 - - [08/Aug/2020:11:05:07 +0900] "GET /ext6.5/build/classic/theme-triton/resources/theme-triton-all_1.css HTTP/1.1" 200 322001
119.207.72.67 - - [08/Aug/2020:11:05:07 +0900] "GET /ext6.5/build/classic/theme-triton/resources/theme-triton-all_2.css HTTP/1.1" 200 162600
119.207.72.67 - - [08/Aug/2020:11:05:07 +0900] "GET /HSPF01/common/login/Ext/util/Observable.js?_dc=1596851789096 HTTP/1.1" 404 1078
119.207.72.67 - - [08/Aug/2020:11:05:07 +0900] "GET /HSPF01/common/login/Ext/plugin/Abstract.js?_dc=1596851789100 HTTP/1.1" 404 1078
119.207.72.67 - - [08/Aug/2020:11:05:07 +0900] "GET /HSPF01/common/login/Ext/dd/DD.js?_dc=1596851789100 HTTP/1.1" 404 1058
119.207.72.67 - - [08/Aug/2020:11:05:07 +0900] "GET /HSPF01/common/login/Ext/tip/ToolTip.js?_dc=1596851789100 HTTP/1.1" 404 1070
